[2020-11-08 03:21:58.792680] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 11
[2020-11-08 03:21:58.793197] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 11
[2020-11-08 03:21:58.793342] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 11
[2020-11-08 03:21:58.803056] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 12
[2020-11-08 03:21:58.803602] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 12
[2020-11-08 03:21:58.803753] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 12
[2020-11-08 03:21:58.813118] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 13
[2020-11-08 03:21:58.813688] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 13
[2020-11-08 03:21:58.813847] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 13
[2020-11-08 03:21:58.823723] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 14
[2020-11-08 03:21:58.824302] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 14
[2020-11-08 03:21:58.824475] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 14
[2020-11-08 03:21:58.834599] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 15
[2020-11-08 03:21:58.835213] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 15
[2020-11-08 03:21:58.835340] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 15
[2020-11-08 03:21:58.844675] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 16
[2020-11-08 03:21:58.845279] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 16
[2020-11-08 03:21:58.845387] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 16
[2020-11-08 03:21:58.854996] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 17
[2020-11-08 03:21:58.855647] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 17
[2020-11-08 03:21:58.855823] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 17
[2020-11-08 03:21:58.865368] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 18
[2020-11-08 03:21:58.866190] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 18
[2020-11-08 03:21:58.867440] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 18
[2020-11-08 03:21:58.877412] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 19
[2020-11-08 03:21:58.878038] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 19
[2020-11-08 03:21:58.878199] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 19
[2020-11-08 03:21:58.888193] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 20
[2020-11-08 03:21:58.888908] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 20
[2020-11-08 03:21:58.889055] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 20
[2020-11-08 03:21:58.900497] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 21
[2020-11-08 03:21:58.901226] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 21
[2020-11-08 03:21:58.901437] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 21
[2020-11-08 03:21:58.911640] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 22
[2020-11-08 03:21:58.912308] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 22
[2020-11-08 03:21:58.912491] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 22
[2020-11-08 03:21:58.922239] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 23
[2020-11-08 03:21:58.922892] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 23
[2020-11-08 03:21:58.923046] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 23
[2020-11-08 03:21:58.933512] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 24
[2020-11-08 03:21:58.934105] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 24
[2020-11-08 03:21:58.934246] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 24
[2020-11-08 03:21:58.942400] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 25
[2020-11-08 03:21:58.943011] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 25
[2020-11-08 03:21:58.943152] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 25
[2020-11-08 03:21:58.950725] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 26
[2020-11-08 03:21:58.951313] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 26
[2020-11-08 03:21:58.951511] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 26
[2020-11-08 03:21:58.961843] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 27
[2020-11-08 03:21:58.962455] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 27
[2020-11-08 03:21:58.962628] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 27
[2020-11-08 03:21:58.973313] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 28
[2020-11-08 03:21:58.973906] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 28
[2020-11-08 03:21:58.974116] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 28
[2020-11-08 03:21:58.981338] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 29
[2020-11-08 03:21:58.981933] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 29
[2020-11-08 03:21:58.982075] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 29
[2020-11-08 03:21:58.989742] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 30
[2020-11-08 03:21:58.990227] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 30
[2020-11-08 03:21:58.990344] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 30
[2020-11-08 03:21:58.997433] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 31
[2020-11-08 03:21:58.998137] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 31
[2020-11-08 03:21:58.998428] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 31
[2020-11-08 03:21:59.005865] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 32
[2020-11-08 03:21:59.006381] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 32
[2020-11-08 03:21:59.006538] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 32
[2020-11-08 03:21:59.013430] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 33
[2020-11-08 03:21:59.013859] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 33
[2020-11-08 03:21:59.013963] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 33
[2020-11-08 03:21:59.020997] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 34
[2020-11-08 03:21:59.021581] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 34
[2020-11-08 03:21:59.021812] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 34
[2020-11-08 03:21:59.028495] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 35
[2020-11-08 03:21:59.028926] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 35
[2020-11-08 03:21:59.029015] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 35
[2020-11-08 03:21:59.036465] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 36
[2020-11-08 03:21:59.036970] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 36
[2020-11-08 03:21:59.037114] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 36
[2020-11-08 03:21:59.043784] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 37
[2020-11-08 03:21:59.044204] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 37
[2020-11-08 03:21:59.044301] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 37
[2020-11-08 03:21:59.051209] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 38
[2020-11-08 03:21:59.051796] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 38
[2020-11-08 03:21:59.051934] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 38
[2020-11-08 03:21:59.058781] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 39
[2020-11-08 03:21:59.059257] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 39
[2020-11-08 03:21:59.059370] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 39
[2020-11-08 03:21:59.066333] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 40
[2020-11-08 03:21:59.066816] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 40
[2020-11-08 03:21:59.066919] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 40
[2020-11-08 03:21:59.074351] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 41
[2020-11-08 03:21:59.074827] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 41
[2020-11-08 03:21:59.074938] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 41
[2020-11-08 03:21:59.081669] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 42
[2020-11-08 03:21:59.082122] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 42
[2020-11-08 03:21:59.082240] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 42
[2020-11-08 03:21:59.089642] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 43
[2020-11-08 03:21:59.090158] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 43
[2020-11-08 03:21:59.090303] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 43
[2020-11-08 03:21:59.097591] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 44
[2020-11-08 03:21:59.098210] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 44
[2020-11-08 03:21:59.098575] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 44
[2020-11-08 03:21:59.108864] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 45
[2020-11-08 03:21:59.109570] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 45
[2020-11-08 03:21:59.109690] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 45
[2020-11-08 03:21:59.117980] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 46
[2020-11-08 03:21:59.118947] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 46
[2020-11-08 03:21:59.119081] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 46
[2020-11-08 03:21:59.126527] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 47
[2020-11-08 03:21:59.127106] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 47
[2020-11-08 03:21:59.127215] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 47
[2020-11-08 03:21:59.135586] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 48
[2020-11-08 03:21:59.136269] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 48
[2020-11-08 03:21:59.136538] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 48
[2020-11-08 03:21:59.145045] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 49
[2020-11-08 03:21:59.145580] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 49
[2020-11-08 03:21:59.145707] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 49
[2020-11-08 03:21:59.153183] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 50
[2020-11-08 03:21:59.154710] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 50
[2020-11-08 03:21:59.154947] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 50
[2020-11-08 03:21:59.162686] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 51
[2020-11-08 03:21:59.163216] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 51
[2020-11-08 03:21:59.163331] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 51
[2020-11-08 03:21:59.170978] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 52
[2020-11-08 03:21:59.171710] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 52
[2020-11-08 03:21:59.171879] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 52
[2020-11-08 03:21:59.179163] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 53
[2020-11-08 03:21:59.179665] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 53
[2020-11-08 03:21:59.179779] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 53
[2020-11-08 03:21:59.187227] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 54
[2020-11-08 03:21:59.187831] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 54
[2020-11-08 03:21:59.187955] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 54
[2020-11-08 03:21:59.195140] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 55
[2020-11-08 03:21:59.195718] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 55
[2020-11-08 03:21:59.195867] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 55
[2020-11-08 03:21:59.203355] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 56
[2020-11-08 03:21:59.203973] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 56
[2020-11-08 03:21:59.204125] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 56
[2020-11-08 03:21:59.210989] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 57
[2020-11-08 03:21:59.211425] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 57
[2020-11-08 03:21:59.211546] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 57
[2020-11-08 03:21:59.218319] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 58
[2020-11-08 03:21:59.219016] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 58
[2020-11-08 03:21:59.219143] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 58
[2020-11-08 03:21:59.225921] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 59
[2020-11-08 03:21:59.226409] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 59
[2020-11-08 03:21:59.226499] [0x00007f313a860780] [info] - ClientConnection::handleConnect - File/Directory = /IDJEKRJBG.jpg, Chuck = 59
[2020-11-08 03:21:59.233561] [0x00007f313a860780] [info] - ClientConnection::start - File/Directory = /IDJEKRJBG.jpg, Chuck = 60
[2020-11-08 03:21:59.234223] [0x00007f313a860780] [info] - ClientConnection::handleResolve - File/Directory = /IDJEKRJBG.jpg, Chuck = 60
